product_name,product_price
"Samsung Galaxy A51 6.5-Inch (4GB,128GB ROM) Android10.0, (48MP +12MP + 5MP + 5MP) + 32MP Dual SIM - Prism Crush Black","₦ 132,990"
"Samsung Galaxy A10s 6.2-Inch (2GB,32GB ROM) Android 9.0, (13MP+2MP)+ 8MP Dual SIM 4000mAh 4G LTE Smartphone - Black (BF19)","₦ 52,000"
"Samsung Galaxy M11 6.4-Inch (3GB, 32GB ROM) Android 10, (13MP+5MP+2MP) + 8MP Dual SIM 5,000 MAh 4G - Black (PRE-ORDER)","₦ 62,200"
"Samsung Galaxy A20s 6.5-Inch (3GB,32GB ROM) Android 9 Pie, (13MP+8MP+ 5MP)+ 25MP 4000mAh  Smartphone - Black","₦ 73,000"
Samsung Galaxy S20 Ultra 6.9-Inch (12GB 128GB ROM) Android 10.0 (108MP + 48MP + 12MP + 0.3MP)+(40MP) Dual SIM 4G - Cosmic Black,"₦ 530,000"
"Samsung S20 ULTRA 6.9 INCH  ( 12GB RAM, 128GB ROM)  - COSMIC BLACK","₦ 519,999"
Samsung Galaxy S7 Edge 5.5'' QHD(4GB+32GB) 12MP+5MP 4G Smartphone-Silver,"₦ 68,500"
Samsung Galaxy S20 Ultra 6.9-Inch (12GB 128GB ROM) Android 10.0 (108MP + 48MP + 12MP + 0.3MP)+(40MP) Dual SIM 4G - Cosmic Black,"₦ 530,000"
"Samsung Galaxy S10 6.1-Inch AMOLED (6GB, 128GB ROM) Android 9.0 Pie, 12MP + 12MP + 16MP Dual SIM 4G Smartphone - Black","₦ 380,000"
"Samsung Galaxy Fold, 7.3-Inch (12GB RAM, 512GB ROM), (12MP + 12MP + 16MP) + (10MP + 8MP) Nano SIM - Cosmos Black","₦ 750,000"
"Samsung Galaxy Note 10 Plus (Note 10+) 6.8-Inch (12GB RAM, 256GB ROM), (12MP + 16MP) Dual SIM 4,300 MAh Smartphone - Aura Glow","₦ 469,999"
"Samsung Galaxy A71 6GB RAM 128GB ROM 6.7"" 4500mAh Dual Sim With 24 MONTH WARRANTY - Prism Crush Silver","₦ 179,990"
Samsung Galaxy S20 6.2-Inch (8GB 128GB ROM) Android 10.0 (12MP + 64MP + 12MP)+(10MP) Dual SIM 4G - Cloud Blue,"₦ 420,000"
Samsung Galaxy S20 Ultra 6.9-Inch (12GB 128GB ROM) Android 10.0 (108MP + 48MP + 12MP + 0.3MP)+(40MP) Dual SIM 4G - Cosmic Grey,"₦ 530,000"
Samsung Galaxy S20 Ultra 6.9-Inch (12GB 128GB ROM) Android 10.0 (108MP + 48MP + 12MP + 0.3MP)+(40MP) Dual SIM 4G - Cosmic Black,"₦ 520,000"
"Samsung Galaxy S10 Plus (8GB,128GB ROM) Android 9.0 Pie, 12MP + 12MP + 16MP Dual SIM 4G Fingerprint Smartphone - Prism White","₦ 350,000"
"Samsung Galaxy Note 10 Plus (Note 10+) 6.8-Inch (12GB RAM, 256GB ROM), (12MP + 16MP) Dual SIM 4,300 MAh Smartphone - Aura Black","₦ 390,000"
"Samsung Galaxy Note 10 Lite 6.7"" (6GB, 128GB), (32MP) + (12MP Tripple Rear Camera) Dual SIM 4,500 MAh 4G Smartphone - Aura Black","₦ 215,200"
"Samsung Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) Android 9.0 Pie, 12MP + 12MP + 16MP Dual SIM 4G Smartphone - Prism Black","₦ 330,000"
Samsung Galaxy S6 4G LET Mobile Phones Octa Core 5.1inch 16MP 3GB RAM 32GB ROM Smartphone -white,"₦ 49,950"
"Samsung Galaxy M11 6.4-Inch (3GB, 32GB ROM) Android 10, (13MP+5MP+2MP) + 8MP Dual SIM 5,000 MAh 4G - Metallic Blue (PRE-ORDER)","₦ 62,200"
Samsung Galaxy S9 5.8'' Inch QHD 4GB+64GB 12MP+8MP 4G Smartphone-Gold,"₦ 132,900"
Samsung Galaxy S20 Ultra 6.9-Inch (12GB 128GB ROM) Android 10.0 (108MP + 48MP + 12MP + 0.3MP)+(40MP) Dual SIM 4G - Cosmic Grey,"₦ 570,000"
"Samsung Galaxy M30s 6.4 Inch 4GB, 64GB ROM,Android 9.0 Pie (48MP+5MP+8MP) + 16MP Dual SIM - White","₦ 100,000"
Samsung Galaxy S20 Ultra 6.9-Inch (12GB 128GB ROM) Android 10.0 (108MP + 48MP + 12MP + 0.3MP)+(40MP) Dual SIM 4G - Cosmic Grey,"₦ 520,000"
"Samsung Galaxy S20 Plus 6.7-Inch (8GB, 128GB ROM) Android 10.0 (64MP + 12MP + 12MP + 0.3MP)+(10MP) Dual SIM 4G - Cosmic Black","₦ 450,000"
Samsung Galaxy S20 Ultra 6.9-Inch (12GB 128GB ROM) Android 10.0 (108MP + 48MP + 12MP + 0.3MP)+(40MP) Dual SIM 4G - Cosmic Black,"₦ 540,000"
"Samsung Galaxy S9 Plus S9 Plus (6GB RAM, 64GB ROM) Android 8.0 Oreo, 12MP + 8MP Single Sim- 4G- Midnight Black","₦ 263,000"
Samsung Galaxy S20 Plus (S20+) 6.7-Inch (8GB 128GB ROM) Android 10 (12MP + 64MP + 12MP + 0.3MP)+(10MP) Dual SIM 4G - Cosmic Grey,"₦ 398,900"
"Samsung Galaxy A71 6GB RAM 128GB ROM 6.7"" 4500mAh Dual Sim With  - Prism Crush Silver","₦ 179,900"
"Samsung Galaxy Note 10 6.3-Inch (8GB RAM, 256GB ROM), (12MP + 16MP) Dual SIM 3,500 MAh Smartphone - Aura Glow","₦ 420,000"
"Samsung Galaxy Note 10 Plus (Note 10+) 6.8-Inch (12GB RAM, 256GB ROM), (12MP + 16MP) Dual SIM 4,300 MAh Smartphone - Aura White","₦ 390,000"
Samsung Galaxy Note 8 6.3'' QHD Smartphone (6GB+64GB) 12MP Android Phone-Grey,"₦ 129,990"
Samsung Galaxy S8 Plus Edge 6.2'' Inch QHD 4GB+64GB 12MP+8MP 4G Smartphone-Arctic Silver,"₦ 118,800"
Samsung Galaxy S8 Smartphone 12MP 4GB 64GB NFC Mobile Phone ,"₦ 94,990"
"Samsung Galaxy A71 6GB RAM 128GB ROM 6.7"" 4500mAh Dual Sim With 24 MONTH WARRANTY - Prism Crush Blue","₦ 179,900"
"Samsung Galaxy Note 10 Plus (Note 10+) 6.8-Inch (12GB RAM, 256GB ROM), (12MP + 16MP) Dual SIM 4,300 MAh Smartphone - Aura Black","₦ 365,000"
Samsung Galaxy S20 Plus (S20+) 6.7-Inch (8GB 128GB ROM) Android 10.0 (12MP + 64MP + 12MP + 0.3MP)+(10MP) Dual SIM 4G - Cosmic Black,"₦ 398,900"
"Samsung Galaxy Note 10 6.3-Inch (8GB RAM, 256GB ROM), (12MP + 16MP) Dual SIM 3,500 MAh Smartphone - Aura Black","₦ 330,000"
"Samsung Galaxy S9+ 6.2"" 6GB RAM + 64GB ROM Double 12MP Single SIM Smartphone - Black","₦ 139,900"
,
,
,
,
,
,
,
,
"Samsung Galaxy C9 Pro 4G Phablet 6"" Inch (6GB RAM 64GB ROM), Android 6.0 4000mAh Battery - Pink","₦ 74,999"
"Samsung Galaxy S10 6.1-Inch AMOLED (8GB, 128GB ROM) Android 9.0 Pie, 12MP + 12MP + 16MP Dual SIM 4G Fingerprint Smartphone - Prism White","₦ 280,000"
"Samsung Galaxy S10e 5.8-Inch AMOLED (6GB, 128GB ROM) Android 9.0 Pie, 12MP + 16MP Dual SIM 4G Fingerprint- Prism Black","₦ 190,000"
"Samsung Galaxy S10 6.1-Inch AMOLED (8GB RAM, 128GB ROM) Single Sim - Ceramic - Black","₦ 258,450"
"Samsung Galaxy A50s 6GB+128GB 6.4"" 48MP Triple+32MP Camera Exynos 9611 Octa Core 4000mAh-Black+Screen Protector","₦ 137,699"
"Samsung Galaxy A30s, 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (25MP + 8MP + 8MP) 4G LTE Dual SIM - Prism Crush White","₦ 90,000"
Samsung Samsung Galaxy S9 5.8'' Inch QHD ( 4GB + 64GB ROM ) SMARTPHONE 12MP+8MP - Midnight Black,"₦ 155,000"
"Samsung Galaxy S6 Edge - 5.1"" - 16MP + 5MP - 32GB ROM + 3GB RAM - Smartphone - Gold","₦ 53,900"
Samsung Samsung Galaxy S8 Global Version LTE GSM 12MP 4GB 64GB NFC Mobile Phone,"₦ 94,990"
"Samsung Galaxy Note 10 6.3-Inch (8GB RAM, 256GB ROM), (12MP + 16MP) Dual SIM 3,500 MAh Smartphone - Aura Glow","₦ 340,990"
"Samsung Galaxy A71 6GB RAM 128GB ROM 6.7"" 4500mAh Dual Sim With 24 MONTH WARRANTY - Prism Crush Black","₦ 179,900"
Samsung Galaxy S8 (64GB ROM + 4GB RAM) Dual Sim 4G (Midnight Black),"₦ 175,500"
"Samsung Galaxy Note 10 Lite 6.7"" (6GB, 128GB), (32MP) + (12MP Triple Rear Camera) Dual SIM 4,500 MAh 4G Smartphone - Aura Glow","₦ 220,200"
"Samsung Galaxy Note 9 (6.4"") 128GB + 6GB Android 8.1 Nougat 12MP Camera Midnight Black","₦ 235,000"
"Samsung Galaxy Note 9 - (6GB+128GB)-6.4""- Android 8.1, (12MP+12MP), S-Pen & Back Case Cover + Screen Guide","₦ 245,000"
"Samsung Galaxy Note 9 - (6GB+128GB) - 6.4""- Android 8.1, (12MP+12MP), With S-Pen ,Single Sim,4G  LTE","₦ 199,900"
"Samsung Galaxy S10 6.1-Inch AMOLED (8GB, 128GB ROM) Android 9.0 Pie, (12MP + 12MP + 16MP)+10MP Dual SIM 4G Smartphone - Prism Black","₦ 310,000"
"Samsung Galaxy A51 (6.5'', Android 10.0, 128GB/4GB, Quad Camera:48MP+12MP+5MP+5MP. Selfie 32MP, 4000mAh, 4G)-Prism Crush White","₦ 132,990"
"Samsung Galaxy S8 Plus - 6.2"" 4GB RAM + 64GB ROM - 12MP - Single SIM Smartphone - Silver","₦ 115,900"
"Samsung Galaxy A50s 6GB+128GB 6.4"" 48MP Triple+32MP Camera Exynos 9611 Octa Core 4000mAh-Black","₦ 133,541"
"Samsung Galaxy S10e 5.8-Inch AMOLED (6GB, 128GB ROM) Android 9.0 Pie, (12MP + 16MP)+10MP Dual SIM 4G - White","₦ 199,999"
"Samsung Galaxy S7 Edge Smartphone - 5.5"" - 4GB RAM + 32GB ROM 12MP Single SIM - Silver","₦ 76,900"
"Samsung Galaxy A71 6.7-Inch (6GB, 128GB ROM) Android10.0, 64MP+12MP+5MP +5MP) + 32MP 4G LTE Dual SIM - Prism Crush Black ","₦ 190,000"
"Samsung Galaxy S8 - 5.8"" 4GB RAM + 64GB ROM - 12MP - Single SIM Smartphone - Silver","₦ 95,900"
"Samsung Galaxy A30s 6.4-inch (4GB,64GB),(25MP+8MP+5MP)+16MP, On-Screen Fingerprint 4G - Prism Crush Black","₦ 93,000"
"Samsung Galaxy A71 6GB RAM 128GB  ROM 6.7"" 4500mAh Dual Sim -FINGERPRINT- Prism Crush Blue","₦ 185,000"
Samsung Galaxy Note 9 6.4 Inch Single Sim (6GB+128GB) Andriod 4G Smartphone - Blue,"₦ 179,990"
Samsung Galaxy S9 5.8'' Inch QHD 4GB+64GB 12MP+8MP 4G Smartphone-Midnight Black,"₦ 132,900"
"Samsung Galaxy A51 (6.5'', Android 10.0, 128GB/4GB, Quad Camera:48MP+12MP+5MP+5MP. Selfie 32MP, 4000mAh, 4G)-Prism Crush Blue","₦ 132,990"
"Samsung Galaxy A50 6.4-Inch (4GB,128GB ROM) Android 9 Pie, (25MP+5MP+ 8MP)+ 25MP 4000mAh 4G Dual SIM Smartphone - Blue","₦ 115,000"
"Samsung Galaxy S7 Edge 5.5"" (4GB, 32GB ROM) 12MP + 5MP DUAL Sim - BLACK +Free Pouch","₦ 170,000"
"Samsung Galaxy A50 6.4-Inch (4GB,128GB ROM) Android 9 Pie, (25MP+5MP+ 8MP)+ 25MP 4000mAh 4G Dual SIM Smartphone - White","₦ 130,898"
"Samsung Galaxy Note Edge 5.6"" 4G LTE Mobile Phone 16MP RAM 3GB ROM 32GB - Black","₦ 49,900"
"Samsung Galaxy Note 9 6.4-Inch (6GB RAM, 128GB ROM) Android 8.1 (12MP + 12MP)","₦ 240,999"
"Samsung Galaxy A71 6GB RAM 128GB  ROM 6.7"" 64MP+12MP+5MP+5MP+32MP Android 10 4500mAh  Dual Sim - Prism Crush Black","₦ 190,000"
"Samsung Galaxy A2 Core Android 9.0 - Dual SIM,16GB +1GB RAM (5MP + 5MP) - Blue","₦ 32,000"
"Samsung Galaxy Note 8 6.3-Inch QHD (6GB,64GB ROM), (12MP + 12MP) + 8MP 4G LTE Smartphone - Blue","₦ 180,000"
"Samsung Galaxy S7 Edge Smartphone - 5.5"" - 4GB RAM + 32GB ROM 12MP Single SIM - Gold","₦ 68,900"
"Samsung Galaxy A9 6.3-Inch Full HD+ SAMOLED (6GB, 128GB ROM) Android 8.0 Oreo, 24MP + 24MP Dual SIM 4G - Lemonade Blue","₦ 125,000"
"Samsung Galaxy S9+ 6.2"" 6GB RAM + 64GB ROM Double 12MP Single SIM Smartphone - Gold","₦ 147,900"
,
,
,
,
,
,
,
,
"Samsung Galaxy A51 6.5-Inch (6GB,128GB ROM) Android10.0, (48MP +12MP + 5MP + 5MP) + 32MP Dual SIM - Prism Crush Pink","₦ 145,000"
"Samsung Galaxy S9+ 6.2"" 6GB RAM + 64GB ROM Double 12MP Single SIM Smartphone - Blue","₦ 142,900"
"Samsung Galaxy A71 6GB RAM 128GB  ROM 6.7"" 4500mAh Dual Sim - Prism Crush Black","₦ 185,000"
Samsung Samsung Galaxy S8 Global Version LTE GSM 12MP 4GB 64GB NFC Mobile Phone,"₦ 94,990"
"Samsung Galaxy Note 8 6.3-Inch QHD (6GB,64GB ROM), (12MP + 12MP) + 8MP 4G LTE Smartphone - Midnight Black ","₦ 180,000"
"Samsung Samsung Galaxy Note 9 Dual SIM - 128GB, 6GB RAM, 4G LTE, White","₦ 210,000"
"Samsung Samsung Galaxy S8 5.8-Inch QHD (4GB,64GB ROM) 12MP + 8MP 4G LTE Smartphone ( 2 Sim ) DUAL Sim - Royal Blue","₦ 130,000"
Samsung Galaxy Note 8 6.3'' QHD Smartphone (6GB+64GB) 12MP Android Phone-Gold,"₦ 129,990"
Samsung Galaxy J8 32GB ROM 3GB RAM 6.0 Inches 16+ 5MP Dual Rear Camera /16MP Front Camera Dual SIM - Black,"₦ 68,000"
Samsung Galaxy S6 4G LET Mobile Phones Octa Core 5.1inch 16MP 3GB RAM 32GB ROM Smartphone -Gold,"₦ 49,950"
"Samsung Galaxy A51 6.5-Inch (4GB,128GB ROM) Android10.0, (48MP +12MP + 5MP + 5MP) + 32MP Dual SIM - Prism Crush Blue","₦ 135,000"
"Samsung Galaxy A51 6.5-Inch (4GB,128GB ROM) Android10.0, (48MP +12MP + 5MP + 5MP) + 32MP Dual SIM - Prism Crush Blue","₦ 149,999"
"Samsung Galaxy M30s (SM-M307F/DS) Dual SIM 64GB/4GB RAM,6.4"", (48MP+5MP+8MP) Ultra-wide Triple Camera + 16MP Front,6000mAh-white","₦ 100,000"
"Samsung Galaxy S8 Plus - 6.2"" 4GB RAM + 64GB ROM - 12MP - Single SIM Smartphone - Grey","₦ 119,900"
"Samsung Galaxy A70 6GB+128GB 6.7"" 32MP Triple Cameras Snapdragon 675 Octa Core Fingerprint Unlock 25W Quick Charge 4500mAh-Black","₦ 159,600"
"Samsung Galaxy A01 5.7-Inch Infinity-V (2GB,16GB ROM) Android 10.0, (13MP+2MP) + 5MP Selfie Dual SIM,3000mAh,4G BLUE","₦ 46,800"
"Samsung Galaxy A31-(128GB+4) 6.4"" FHD + 4 Rear Camera (48+5+8+5)MP,+ 20MP, 5000mAh, Dual SIM 4G LTE ,A315G Prism Crush Black","₦ 113,400"
"Samsung Galaxy Note 8 6.3-Inch QHD (6GB,64GB ROM) - Midnight Black ","₦ 159,999"
"Samsung Galaxy A51 6.5-Inch (4GB,128GB ROM) Android10.0, (48MP +12MP + 5MP + 5MP) + 32MP Dual SIM - Prism Crush Blue","₦ 132,900"
"Samsung Galaxy S6 Edge 5.1"" Curved Screen 32GB ROM 16MP Phone - Black","₦ 59,900"
"Samsung Galaxy A51 (4GB 128GB) Dual Sim, 4000mAh, Android 10.0, 6.5'' - Prism Crush Black","₦ 140,000"
Samsung Galaxy C5 C5000 4G LTE Smartphone Super AMOLED 5.2 Inch Snapdragon 617 Octa Core 16MP Camera Cell Phone- Gold,"₦ 46,990"
Samsung Galaxy S9 5.8'' Inch QHD ( 4GB + 64GB ROM ) 12MP+8MP -Purple,"₦ 132,900"
Samsung Galaxy S7 G930A / T / V 5.1 Inch 4GB RAM 32GB ROM-GOLDEN,"₦ 61,730"
Samsung Samsung Galaxy A10s 2gb Ram/ 32gb - 6.2 4000mah - Black,"₦ 58,500"
"Samsung Galaxy Note9 - 6.4"" 6GB RAM + 128GB ROM Dual 12MP Single SIM Smartphone - Black","₦ 169,900"
Samsung Galaxy Note 4 LTE Smartphone 5.7 Inch 16MP 3GB 32GB -White,"₦ 53,900"
"Samsung Galaxy S8 - 5.8"" 4GB RAM + 64GB ROM - 12MP - Single SIM Smartphone - Grey","₦ 95,900"
Samsung Galaxy S7 Edge 5.5'' QHD(4GB+32GB) 12MP+5MP 4G Smartphone-Black,"₦ 68,500"
"Samsung Galaxy Tab A, 8.0 Inch, 2GB RAM 32GB ROM, Android 9.0, 8MP, Battery 5100mAh SILVER","₦ 70,000"
Samsung Galaxy Note 5  5.7'' Inch 4GB RAM 32GB ROM 16.0MP LTE 4G Android Smartphone -Gold,"₦ 66,990"
Samsung Galaxy Note 5 5.7 '' 16MP 4GB RAM 32GB ROM 4G LTE - White,"₦ 66,900"
"Samsung Galaxy M11 6.4-Inch (3GB, 32GB ROM) Android 10, (13MP+5MP+2MP) + 8MP Dual SIM 5,000 MAh 4G - Black","₦ 63,990"
"Samsung Galaxy S8 Plus - 6.2"" 4GB RAM + 64GB ROM - 12MP - Single SIM Smartphone - Black","₦ 115,900"
"Samsung Galaxy A20s,  Dual Sim, 6.5"" HD+, (32gb+3gb Ram) 13MP + 5MP+ 8MP Rear Camera / 8MP Front Camera,  4G LTE - Black","₦ 78,000"
"Samsung Galaxy S6 5.1"" Inch LTE 3GB RAM 32GB ROM 16MP Android Phone","₦ 49,900"
Samsung Galaxy Note 8 6.3'' QHD Smartphone (6GB+64GB) 12MP Android Phone-Blue,"₦ 129,990"
"Samsung Galaxy S7 Edge Smartphone - 5.5"" - 4GB RAM + 32GB ROM 12MP Single SIM - Black","₦ 68,900"
"Samsung Galaxy A10s 6.2-Inch (2GB RAM, 32GB ROM) Android 9.0 Pie, (13MP + 2MP) + 8MP, 4000 MAh 4G LTE, Dual Sim - Blue","₦ 58,000"
"Samsung Samsung Galaxy S8 Octa Core 5.8"" 12MP RAM+8MP Smartphone 4GB +64GB-Pink (refurbished)","₦ 105,999"
,
,
,
,
,
,
,
,
Samsung Galaxy Note 8 6.3'' QHD Smartphone (6GB+64GB) 12MP Android Phone-Black,"₦ 129,990"
"Samsung Galaxy J6 Plus 6-Inch HD+ Super AMOLED (3GB,32GB ROM) (13MP + 5MP) + 8MP, Dual SIM 4G LTE Smartphone - Red","₦ 68,000"
"Samsung Galaxy A30s 6.4'' (4GB,64GB ROM) Android 9.0, (25MP+8MP+5MP)+16MP Dual SIM 4000mAh 4G LTE Smartphone Prism  Black","₦ 105,000"
Samsung Galaxy C5 / C5000 4G Smartphone Octa Core 4GB RAM 32GB ROM-ROSE GOLD,"₦ 65,680"
Samsung Galaxy S4 I9507V 4G Smartphone 5.0'' 2600mAh FHD 13MP+2MP 2GB+16GB Mobile Phone-White,"₦ 23,990"
"Samsung Galaxy S8 - 5.8"" 4GB RAM + 64GB ROM - 12MP - Single SIM Smartphone - Black","₦ 95,900"
"Samsung Galaxy S6 5.1"" Inch LTE 3GB RAM 32GB ROM 16MP Phone - White","₦ 49,900"
"Samsung Galaxy J8 (64gb+4gb Ram)-16MP+5MP Dual Rear Camera + 16MP Front -6''- 4G LTE, 3500mAH - Android 8.0 - Blue","₦ 80,000"
Samsung SAMSUNG EVO Microsd Card 128GB 100Mb/s Class10 U3 U1 SDXC,"₦ 10,343"
"Samsung 4pcs Of Samsung Galaxy A51 6.5-Inch (4GB,128GB ROM) Android10.0, (48MP +12MP + 5MP + 5MP) + 32MP Dual SIM - Crush Black","₦ 570,500"
"Samsung Galaxy S6 Edge - 5.1"" - 12MP + 5MP - 32GB ROM + 3GB RAM - Smartphone - Green","₦ 55,599"
"Samsung Galaxy S6 Edge 5.1"" Curved Screen 32GB ROM 16MP Phone - Gold","₦ 59,800"
Samsung Galaxy A2 Core Android SmartPhone - 5 Inches Screen Display Wide - 1GB RAM 16GB Internal Storage - Dual Sim - Blue,"₦ 42,750"
"Samsung Galaxy A71 6.7-Inch (6GB, 128GB ROM) Android10.0, 64MP+12MP+5MP +5MP) + 32MP 4G LTE Dual SIM - Prism Crush Black","₦ 185,000"
Samsung Galaxy A2 Core Android SmartPhone - 5 Inches Screen Display Wide - 1GB RAM 16GB Internal Storage - Dual Sim - Dark Grey,"₦ 48,300"
"Samsung Galaxy A9 6.3-Inch Full HD+ SAMOLED (6GB, 128GB ROM) Android 8.0 Oreo, 24MP + 24MP Dual SIM 4G - Lemonade Blue","₦ 125,000"
"Samsung Galaxy S8 Plus 6.2-Inch (4GB RAM, 64GB ROM) Android 7.0 Nougat, 12MP+8MP, 4G LTE - Midnight Black Plus Glass&smart Case","₦ 162,000"
"Samsung Samsung Galaxy S10 6.1-Inch AMOLED (8GB,128GB ROM) Android 9.0 Pie, 12MP + 12MP + 10MP Dual SIM","₦ 338,500"
Samsung Galaxy A10s 6.2-Inches Screen Display Android 9.0 Dual Sim SmartPhone - 2GB RAM 32GB Internal Storage,"₦ 91,800"
Samsung Galaxy A2 Core Android SmartPhone - 5 Inches Screen Display Wide - 1GB RAM 16GB Internal Storage - Dual Sim - Blue,"₦ 48,300"
"Samsung Galaxy A51 6.5-Inch (4GB,128GB ROM) Android10.0, (48MP +12MP + 5MP + 5MP) + 32MP Dual SIM - Prism Crush Blue","₦ 189,999"
Samsung Galaxy A10s 6.2-Inches Screen Display Android 9.0 Dual Sim SmartPhone - 2GB RAM 32GB Internal Storage,"₦ 91,500"
"Samsung Galaxy S8 Plus 6.2-Inch (4GB RAM, 64GB ROM) Android 7.0 Nougat, 12MP+8MP, 4G LTE - Midnight Black Plus Free Glass&case.","₦ 145,000"
Samsung Galaxy A2 Core Android SmartPhone - 5 Inches Screen Display Wide - 1GB RAM 16GB Internal Storage - Dual Sim - Blue,"₦ 42,300"
"Samsung Galaxy A71 6GB RAM 128GB  ROM 6.7"" 4500mAh Dual Sim -FINGERPRINT- Prism Crush Blue","₦ 209,999"
"Samsung Samsung Galaxy A2 Core 5"" 1GB RAM 16GB ROM 5MP + 5MP Camera Dual Sim 2600Mah","₦ 36,000"
"Samsung Galaxy Note 10 6.3-Inch (8GB RAM, 256GB ROM), (12MP + 16MP) Dual SIM 3,500 MAh Smartphone - Aura White","₦ 389,999"
"Samsung Galaxy S8 5.8-Inch QHD (4GB,64GB ROM) Android 7.0 Nougat, 12MP + 8MP Dual SIM LTE - Maple Gold","₦ 160,000"
"Samsung Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) Android 9.0 Pie, (12MP + 12MP + 16MP)+(10MP+8MP) Dual SIM 4G Smartphone - Prism Blue","₦ 419,999"
Samsung Galaxy S9 4GB+64GB 5.8 Inch Midnight Black Used Phone 99% New Single Sim 4G Android Smartphone,"₦ 122,100"
Samsung Galaxy S9 4GB+64GB 5.8 Inch Coral Blue Used Phone 99% New Single Sim 4G Android Smartphone,"₦ 122,100"
"Samsung Galaxy S8 5.8-Inch QHD (4GB,64GB ROM) Android 7.0 Nougat, 12MP + 8MP Dual SIM LTE - Maple Gold","₦ 160,000"
"Samsung Galaxy A51 (4GB 128GB) Dual Sim, 4000mAh, Android 10.0, 6.5'' - Prism Crush Black","₦ 144,000"
"Samsung Galaxy Note8 Smartphone 6.3""  6GB RAM + 64GB ROM 12MP + 12MP Single SIM - Blue","₦ 143,000"
Samsung Galaxy A2 Core Android SmartPhone - 5 Inches Screen Display Wide - 1GB RAM 16GB Internal Storage - Dual Sim - Dark Grey,"₦ 42,300"
Samsung Galaxy A10s 6.2-Inches Screen Display Android 9.0 Dual Sim SmartPhone - 2GB RAM 32GB Internal Storage,"₦ 74,800"
"Samsung Galaxy A71- 6GB RAM- 128GB  ROM 6.7"" 4500mAh Dual Sim - Fingerprint- Prism Crush Black","₦ 211,999"
"Samsung Galaxy Note8 Smartphone 6.3""  6GB RAM + 64GB ROM 12MP + 12MP Single SIM - Black","₦ 139,000"
